RETAIL,CATEGORIA,Date,Impressions,Clicks,CTR,Unique Visitors,Frequency,Spend,Units,Sales,ROAS,Month,Day,New Impressions,Unit Cost,Best Practice
BA,crema,2023-07-01,2386,14,0.00586756077116513,2391.0,0.9979,134.4,13,405.0,3.01,7,1,2386000,31.153846153846153,No BP
BA,crema,2023-07-02,3423,17,0.004966403739409875,3319.0,1.0313,163.2,17,561.5,3.44,7,2,3423000,33.029411764705884,No BP
BA,crema,2023-07-03,4241,17,0.00400848856401792,4242.0,0.9998,136.32,13,427.5,3.14,7,3,4241000,32.88461538461539,No BP
BA,crema,2023-07-04,3947,20,0.005067139599695972,3913.0,1.0087,153.6,8,272.0,1.77,7,4,3947000,34.0,No BP
BA,crema,2023-07-05,3697,19,0.005139302136867731,3707.0,0.9973,105.72,21,3903.0,36.92,7,5,3697000,185.85714285714286,BP
BA,crema,2023-07-06,4672,21,0.00449486301369863,4713.0,0.9913,105.0,9,291.0,2.77,7,6,4672000,32.333333333333336,No BP
BA,crema,2023-07-07,4492,30,0.006678539626001781,4408.0,1.0191,150.0,30,5759.5,38.4,7,7,4492000,191.98333333333332,BP
BA,crema,2023-07-08,7548,28,0.0037095919448860626,7748.0,0.9742,140.0,23,560.0,4.0,7,8,7548000,24.347826086956523,No BP
BA,crema,2023-07-09,8076,28,0.003467062902426944,8110.0,0.9958,140.0,15,511.5,3.65,7,9,8076000,34.1,No BP
BA,crema,2023-07-10,7387,26,0.0035196967645864355,7553.0,0.978,130.0,17,4186.0,32.2,7,10,7387000,246.23529411764707,BP
BA,crema,2023-07-11,4912,23,0.004682410423452769,4847.0,1.0134,115.0,15,473.0,4.11,7,11,4912000,31.533333333333335,No BP
BA,crema,2023-07-12,5258,25,0.004754659566375047,5280.0,0.9958,125.0,16,493.0,3.94,7,12,5258000,30.8125,No BP
BA,crema,2023-07-13,5973,19,0.003180981081533568,6068.0,0.9843,95.0,12,399.0,4.2,7,13,5973000,33.25,No BP
BA,crema,2023-07-14,4514,28,0.006202924235711121,4569.0,0.988,140.0,29,5996.0,42.83,7,14,4514000,206.75862068965517,BP
BA,crema,2023-07-15,4006,33,0.008237643534697954,3893.0,1.029,165.0,22,802.5,4.86,7,15,4006000,36.47727272727273,No BP
BA,crema,2023-07-16,4082,27,0.006614404703576678,4203.0,0.9712,135.0,20,778.0,5.76,7,16,4082000,38.9,No BP
BA,crema,2023-07-17,2959,27,0.009124704291990537,2962.0,0.999,135.0,32,6498.0,48.13,7,17,2959000,203.0625,BP
